id,release_date,movie,production_budget,domestic_gross,worldwide_gross,net_profit,ROI,release_year,clean_movie,clean_title_x,start_year_x,genres,primary_genre,clean_title_y,start_year_y,averagerating,numvotes
64,2011-11-23,The Muppets,45000000.0,88625922.0,160971922.0,115971922.0,2.5771538222222223,2011,the muppets,the muppets,2011.0,"Adventure,Comedy,Family",Adventure,the muppets,2011,7.1,82752
68,2016-10-07,The Girl on the Train,45000000.0,75395035.0,174278214.0,129278214.0,2.8728492,2016,the girl on the train,the girl on the train,2016.0,"Crime,Drama,Mystery",Crime,the girl on the train,2016,6.5,150977
73,2010-03-19,The Bounty Hunter,45000000.0,67061228.0,135808837.0,90808837.0,2.0179741555555557,2010,the bounty hunter,the bounty hunter,2010.0,"Action,Comedy,Romance",Action,the bounty hunter,2010,5.6,112444
73,2010-03-19,The Bounty Hunter,45000000.0,67061228.0,135808837.0,90808837.0,2.0179741555555557,2010,the bounty hunter,the bounty hunter,2010.0,,Unknown,the bounty hunter,2010,5.6,112444
81,2016-12-09,Office Christmas Party,45000000.0,54767494.0,91323299.0,46323299.0,1.0294066444444445,2016,office christmas party,office christmas party,2016.0,Comedy,Comedy,office christmas party,2016,5.8,59253
88,2012-07-06,Savages,45000000.0,47323100.0,82513490.0,37513490.0,0.8336331111111112,2012,savages,savages,2012.0,"Crime,Drama,Thriller",Crime,savages,2012,6.5,115793
90,2014-05-23,Blended,45000000.0,46290741.0,127990741.0,82990741.0,1.8442386888888889,2014,blended,blended,2014.0,"Comedy,Romance",Comedy,blended,2014,6.5,106491
91,2017-06-16,All Eyez on Me,45000000.0,44922302.0,54876855.0,9876855.0,0.21948566666666666,2017,all eyez on me,all eyez on me,2017.0,"Biography,Drama,Music",Biography,all eyez on me,2017,5.8,18541
6,2019-05-03,UglyDolls,45000000.0,19894664.0,24644664.0,-20355336.0,-0.4523408,2019,uglydolls,uglydolls,2019.0,"Adventure,Animation,Comedy",Adventure,uglydolls,2019,4.5,1176
11,2010-02-19,The Ghost Writer,45000000.0,15541549.0,65532491.0,20532491.0,0.4562775777777778,2010,the ghost writer,the ghost writer,2010.0,"Drama,Mystery,Thriller",Drama,the ghost writer,2010,7.2,148274
15,2012-09-21,Dredd,45000000.0,13414714.0,41467606.0,-3532394.0,-0.07849764444444444,2012,dredd,dredd,2012.0,"Action,Crime,Sci-Fi",Action,dredd,2012,7.1,234616
16,2011-10-28,The Rum Diary,45000000.0,13109815.0,21544732.0,-23455268.0,-0.5212281777777777,2011,the rum diary,the rum diary,2011.0,"Comedy,Drama",Comedy,the rum diary,2011,6.2,94787
18,2018-12-21,Welcome to Marwen,45000000.0,10763520.0,12874922.0,-32125078.0,-0.7138906222222222,2018,welcome to marwen,welcome to marwen,2018.0,"Biography,Comedy,Drama",Biography,welcome to marwen,2018,6.1,8920
19,2011-10-21,Johnny English Reborn,45000000.0,8406711.0,164640401.0,119640401.0,2.6586755777777777,2011,johnny english reborn,johnny english reborn,2011.0,"Action,Adventure,Comedy",Action,johnny english reborn,2011,6.3,110824
26,2012-12-31,Foodfight!,45000000.0,0.0,73706.0,-44926294.0,-0.9983620888888889,2012,foodfight,foodfight,2012.0,"Action,Animation,Comedy",Action,foodfight,2012,1.9,8248
27,2012-10-12,Argo,44500000.0,136025503.0,227140757.0,182640757.0,4.104286674157303,2012,argo,argo,2012.0,"Biography,Drama,Thriller",Biography,argo,2012,7.7,534683
31,2010-07-30,Charlie St. Cloud,44000000.0,31206263.0,48478084.0,4478084.0,0.10177463636363636,2010,charlie st. cloud,charlie st. cloud,2010.0,"Drama,Fantasy,Romance",Drama,charlie st. cloud,2010,6.5,55016
33,2014-02-06,The Interview,44000000.0,6105175.0,12342632.0,-31657368.0,-0.7194856363636364,2014,the interview,the interview,2014.0,Comedy,Comedy,the interview,2014,6.5,286341
35,2013-06-28,The Heat,43000000.0,159581587.0,229727774.0,186727774.0,4.342506372093023,2013,the heat,the heat,2013.0,"Action,Comedy,Crime",Action,the heat,2013,6.6,153501
42,2011-01-28,The Mechanic,42500000.0,29121498.0,76347393.0,33847393.0,0.7964092470588235,2011,the mechanic,the mechanic,2011.0,"Action,Crime,Thriller",Action,the mechanic,2011,6.6,141254
44,2012-03-16,21 Jump Street,42000000.0,138447667.0,202812429.0,160812429.0,3.8288673571428573,2012,21 jump street,21 jump street,2012.0,"Action,Comedy,Crime",Action,21 jump street,2012,7.2,477771
51,2017-05-12,Snatched,42000000.0,45852178.0,57852177.0,15852177.0,0.37743278571428573,2017,snatched,snatched,2017.0,"Action,Adventure,Comedy",Action,snatched,2017,4.5,29997
52,2012-10-12,Here Comes the Boom,42000000.0,45290318.0,73239258.0,31239258.0,0.7437918571428571,2012,here comes the boom,here comes the boom,2012.0,"Action,Comedy,Sport",Action,here comes the boom,2012,6.4,81761
